NAME					DATA_ELEMENT_ID
-------------------------------------	---------------
Positive Triage Screens for Follow-Up	RD/10902/38
Positive Triage Screens for Follow-Up	RD/10902/46
Positive Triage Screens for Follow-Up	RD/11510/42
Positive Triage Screens for Follow-Up	RD/11641/43
Positive Triage Screens for Follow-Up	RD/11649/38
Positive Triage Screens for Follow-Up	RD/11707/38
Positive Triage Screens for Follow-Up	RD/11707/46
Positive Triage Screens for Follow-Up	RD/11712/46
Positive Triage Screens for Follow-Up	RD/11781/46
Positive Triage Screens for Follow-Up	RD/11788/46
Positive Triage Screens for Follow-Up	RD/11949/46
Positive Triage Screens for Follow-Up	RD/9776/48
Positive Triage Screens for Follow-Up	RD/9778/48
PtEd/Counseling				RD/10394/73
PtEd/Counseling				RD/11110/43
PtEd/Counseling				RD/337/4
PtEd/Counseling				RD/7451/81
PtEd/Counseling				RD/7697/73
PtEd/Counseling				RD/7737/83
PtEd/Counseling				RD/7791/83
PtEd/Counseling				RD/7792/83
PtEd/Counseling				RD/7804/84
PtEd/Counseling				RD/7828/73
PtEd/Counseling				RD/7832/85
PtEd/Counseling				RD/7853/73
PtEd/Counseling				RD/8304/84
PtEd/Counseling				RD/8308/84
PtEd/Counseling				RD/8309/84
PtEd/Counseling				RD/8312/84
PtEd/Counseling				RD/8333/84
PtEd/Counseling				RD/8344/83
PtEd/Counseling				RD/8422/84
PtEd/Counseling				RD/8594/84
PtEd/Counseling				RD/8743/86
PtEd/Counseling				RD/8745/83
PtEd/Counseling				RD/8745/86
PtEd/Counseling				RD/8747/83
PtEd/Counseling				RD/8748/86
PtEd/Counseling				RD/8749/86
PtEd/Counseling				RD/8768/83
PtEd/Counseling				RD/8796/84
PtEd/Counseling				RD/8797/84
PtEd/Counseling				RD/8938/84
PtEd/Counseling				RD/9081/83
PtEd/Counseling				RD/9098/83
PtEd/Counseling				RD/9100/83
PtEd/Counseling				RD/9148/83
PtEd/Counseling				RD/9149/83
PtEd/Counseling				RD/9166/83
PtEd/Counseling				RD/9168/83
PtEd/Counseling				RD/9187/83
PtEd/Counseling				RD/9239/83
PtEd/Counseling				RD/9288/83
PtEd/Counseling				RD/9343/83
PtEd/Counseling				RD/9344/83
PtEd/Counseling				RD/9433/83
